Country,Score
Brazil,1
Japan,0.727272727272727
Turkey,0.454545454545455
Thailand,0.454545454545455
France,0.236363636363636
Indonesia,0.236363636363636
Paraguay,0.206611570247934
Chile,0.181818181818182
Dominician Republic,0.181818181818182
Spain,0.181818181818182
Poland,0.181818181818182
Argentina,0.160839160839161
Peru,0.160839160839161
Bolivia,0.142857142857143
Vietnam,0.142857142857143
Guatemala,0.142857142857143
Italy,0.142857142857143
Uruguay,0.142857142857143
Colombia,0.127272727272727
Ecuador,0.127272727272727
Honduras,0.127272727272727
Costa Rica,0.113636363636364
Taiwan,0.113636363636364
Sweden,0.0909090909090909
Mexico,0.0909090909090909
Germany,0.0813397129186603
Israel,0.0813397129186603
Finland,0.0649350649350649
Portugal,0.0649350649350649
Netherlands,0.0578512396694215
Malta,0.0578512396694215
Austria,0.0513833992094862
Greece,0.0454545454545455
Malaysia,0.04
Norway,0.0303030303030303
Belgium,0.025974025974026
Denmark,0.025974025974026
Singapore,0.025974025974026
Czech Republic,0.0219435736677116
Hong Kong,0.0219435736677116
United Kingdom,0.0181818181818182
Bulgaria,0.0146627565982405
Iceland,0.0146627565982405
Australia,0.0113636363636364
Ireland,0.0113636363636364
Switzerland,0.0113636363636364
Hungary,0.00826446280991736
United States,0.00826446280991736
New Zeland,0.0053475935828877
Canada,0
