Argentina,Australia,Austria,Belgium,Bolivia,Brazil,Bulgaria,Canada,Chile,Colombia,Costa Rica,Czech Republic,Denmark,Dominician Republic,Ecuador,Vietnam,Taiwan,Finland,France,Germany,Greece,Guatemala,Honduras,Hong Kong,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Sweden,Uruguay,Switzerland,Malaysia,Turkey,Mexico,Netherlands,New Zeland,Spain,Norway,Thailand,Paraguay,Peru,United Kingdom,Poland,Portugal,United States,Singapore,Malta
50,4,3,5,33,3,5,5,33,32,33,4,4,25,32,4,4,4,4,4,4,34,32,4,5,4,3,4,4,5,2,3,42,6,4,2,27,4,4,25,4,3,30,33,3,3,6,4,4,3
4,50,18,29,4,3,25,31,3,4,5,26,22,3,5,14,14,18,11,15,21,4,5,27,29,28,12,31,19,10,3,16,4,24,29,8,8,22,39,3,23,7,1,3,25,13,18,27,33,20
3,18,50,20,3,3,19,18,3,3,4,18,18,3,4,11,10,18,10,39,18,3,4,16,19,17,6,19,14,10,3,16,3,32,18,8,7,16,18,3,19,5,1,2,18,12,14,18,18,9
5,29,20,50,5,3,26,26,4,5,6,23,23,4,6,13,13,21,23,18,22,5,6,22,28,26,8,30,17,11,3,18,5,31,24,8,9,27,27,4,27,7,2,4,25,14,17,23,25,17
33,4,3,5,50,3,5,5,34,44,44,4,4,25,45,4,4,4,4,4,4,43,40,4,5,4,3,4,4,5,2,3,36,6,4,2,35,4,4,24,4,3,33,43,3,3,6,4,4,3
3,3,3,3,3,50,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,1,3,3,3,2,3,2,1,2,3,2,7,3,3,2
5,25,19,26,5,3,50,32,4,5,6,25,24,4,6,15,14,20,11,16,27,5,6,22,33,29,10,28,18,11,4,15,5,27,23,9,9,21,26,4,23,8,2,4,24,14,19,27,24,17
5,31,18,26,5,3,32,50,4,5,6,25,22,4,6,14,13,20,9,14,23,5,6,25,30,33,10,31,18,11,3,18,5,26,28,8,8,21,33,4,27,7,2,4,26,13,21,40,31,21
33,3,3,4,34,3,4,4,50,34,33,3,3,31,34,3,3,3,4,4,3,36,38,3,4,3,2,3,3,5,2,3,34,5,3,1,26,3,3,25,3,2,39,32,3,2,5,4,3,3
32,4,3,5,44,3,5,5,34,50,41,4,4,26,44,4,4,4,4,4,4,41,40,4,5,4,3,4,4,5,2,3,33,6,4,2,34,4,4,22,4,3,31,41,3,3,6,4,4,3
33,5,4,6,44,3,6,6,33,41,50,5,5,26,41,4,4,5,5,5,5,44,40,5,6,5,3,5,5,6,2,4,35,7,5,3,36,5,5,24,5,3,32,41,4,4,7,5,5,4
4,26,18,23,4,3,25,25,3,4,5,50,21,3,5,13,14,20,9,14,20,4,5,23,28,23,10,28,20,9,3,15,4,23,22,8,8,19,25,3,23,7,1,3,24,12,16,22,23,11
4,22,18,23,4,3,24,22,3,4,5,21,50,3,5,12,12,19,10,15,20,4,5,20,24,24,8,26,16,11,3,17,4,22,20,9,8,23,22,3,22,6,1,3,23,14,16,18,21,16
25,3,3,4,25,2,4,4,31,26,26,3,3,50,28,2,2,3,4,4,3,28,31,3,4,3,2,3,3,5,2,3,25,5,3,2,22,3,3,20,3,2,27,25,3,2,5,4,3,3
32,5,4,6,45,3,6,6,34,44,41,5,5,28,50,4,5,5,5,5,5,40,40,5,6,5,3,5,5,6,2,4,34,7,5,3,34,5,5,24,5,3,31,44,4,4,7,5,5,4
4,14,11,13,4,3,15,14,3,4,4,13,12,2,4,50,14,10,6,8,13,4,4,17,13,12,15,13,10,6,4,10,4,12,21,5,5,11,14,3,13,10,1,3,11,8,10,12,18,7
4,14,10,13,4,3,14,13,3,4,4,14,12,2,5,14,50,10,6,7,13,4,5,21,14,12,10,13,11,6,4,10,4,12,17,5,7,11,13,3,13,10,1,3,11,9,10,12,19,6
4,18,18,21,4,3,20,20,3,4,5,20,19,3,5,10,10,50,10,15,17,4,5,16,20,20,6,22,15,8,3,20,4,20,19,8,7,18,18,2,26,5,1,3,19,12,14,17,19,12
4,11,10,23,4,3,11,9,4,4,5,9,10,4,5,6,6,10,50,10,9,4,5,8,11,11,5,10,8,9,2,9,4,17,9,4,7,10,10,4,11,4,2,3,9,8,9,8,9,8
4,15,39,18,4,3,16,14,4,4,5,14,15,4,5,8,7,15,10,50,13,4,5,11,16,14,4,16,10,10,2,12,4,29,13,7,6,14,14,3,14,3,2,3,14,9,11,13,13,11
4,21,18,22,4,3,27,23,3,4,5,20,20,3,5,13,13,17,9,13,50,4,5,20,25,22,8,21,17,10,3,15,4,23,21,9,7,18,22,3,22,7,1,3,18,13,17,22,21,12
34,4,3,5,43,3,5,5,36,41,44,4,4,28,40,4,4,4,4,4,4,50,45,4,5,4,3,4,4,5,2,3,35,6,4,2,35,4,4,24,4,3,35,39,3,3,6,4,4,3
32,5,4,6,40,3,6,6,38,40,40,5,5,31,40,4,5,5,5,5,5,45,50,5,6,5,3,5,5,6,2,4,33,7,5,3,33,5,5,22,5,3,34,37,4,4,7,5,5,4
4,27,16,22,4,3,22,25,3,4,5,23,20,3,5,17,21,16,8,11,20,4,5,50,24,22,15,25,19,10,4,16,4,20,28,8,7,19,26,3,21,11,1,3,21,13,17,23,34,12
5,29,19,28,5,3,33,30,4,5,6,28,24,4,6,13,14,20,11,16,25,5,6,24,50,27,10,31,21,11,3,15,5,27,22,9,9,22,27,4,24,7,2,4,26,14,20,25,24,15
4,28,17,26,4,3,29,33,3,4,5,23,24,3,5,12,12,20,11,14,22,4,5,22,27,50,9,30,17,10,3,17,4,24,23,8,8,21,29,3,27,6,1,3,25,14,19,31,25,22
3,12,6,8,3,2,10,10,2,3,3,10,8,2,3,15,10,6,5,4,8,3,3,15,10,9,50,10,9,5,3,6,3,9,21,3,4,8,11,3,8,10,1,3,7,5,7,8,18,5
4,31,19,30,4,3,28,31,3,4,5,28,26,3,5,13,13,22,10,16,21,4,5,25,31,30,10,50,19,10,3,18,4,25,25,8,8,25,30,3,29,7,1,3,34,14,17,26,27,23
4,19,14,17,4,3,18,18,3,4,5,20,16,3,5,10,11,15,8,10,17,4,5,19,21,17,9,19,49,9,3,14,4,16,17,8,7,15,18,3,16,6,1,3,16,12,16,17,18,8
5,10,10,11,5,3,11,11,5,5,6,9,11,5,6,6,6,8,9,10,10,5,6,10,11,10,5,10,9,50,2,10,5,13,10,6,7,10,10,5,10,4,3,4,10,8,11,10,10,8
2,3,3,3,2,2,4,3,2,2,2,3,3,2,2,4,4,3,2,2,3,2,2,4,3,3,3,3,3,2,48,3,2,3,4,2,2,2,3,2,3,3,1,2,3,2,3,3,4,1
3,16,16,18,3,3,15,18,3,3,4,15,17,3,4,10,10,20,9,12,15,3,4,16,15,17,6,18,14,10,3,50,3,17,19,7,6,17,16,3,25,5,1,2,16,11,14,16,19,11
42,4,3,5,36,3,5,5,34,33,35,4,4,25,34,4,4,4,4,4,4,35,33,4,5,4,3,4,4,5,2,3,50,6,4,2,27,4,4,26,4,3,33,35,3,3,6,4,4,3
6,24,32,31,6,3,27,26,5,6,7,23,22,5,7,12,12,20,17,29,23,6,7,20,27,24,9,25,16,13,3,17,6,50,22,9,10,20,25,5,23,6,3,5,22,13,19,23,23,15
4,29,18,24,4,3,23,28,3,4,5,22,20,3,5,21,17,19,9,13,21,4,5,28,22,23,21,25,17,10,4,19,4,22,50,8,7,21,27,3,26,12,1,3,21,12,17,24,41,17
2,8,8,8,2,1,9,8,1,2,3,8,9,2,3,5,5,8,4,7,9,2,3,8,9,8,3,8,8,6,2,7,2,9,8,50,3,7,8,1,8,2,1,2,7,8,8,7,8,5
27,8,7,9,35,3,9,8,26,34,36,8,8,22,34,5,7,7,7,6,7,35,33,7,9,8,4,8,7,7,2,6,27,10,7,3,50,8,8,20,7,5,23,30,7,6,9,7,7,5
4,22,16,27,4,3,21,21,3,4,5,19,23,3,5,11,11,18,10,14,18,4,5,19,22,21,8,25,15,10,2,17,4,20,21,7,8,49,22,3,22,7,1,3,21,13,15,18,22,17
4,39,18,27,4,3,26,33,3,4,5,25,22,3,5,14,13,18,10,14,22,4,5,26,27,29,11,30,18,10,3,16,4,25,27,8,8,22,50,3,23,7,1,3,25,13,19,29,31,20
25,3,3,4,24,2,4,4,25,22,24,3,3,20,24,3,3,2,4,3,3,24,22,3,4,3,3,3,3,5,2,3,26,5,3,1,20,3,3,50,3,3,24,24,3,2,5,4,3,2
4,23,19,27,4,3,23,27,3,4,5,23,22,3,5,13,13,26,11,14,22,4,5,21,24,27,8,29,16,10,3,25,4,23,26,8,7,22,23,3,50,7,1,3,23,13,16,23,26,16
3,7,5,7,3,2,8,7,2,3,3,7,6,2,3,10,10,5,4,3,7,3,3,11,7,6,10,7,6,4,3,5,3,6,12,2,5,7,7,3,7,50,1,3,5,5,6,6,11,2
30,1,1,2,33,1,2,2,39,31,32,1,1,27,31,1,1,1,2,2,1,35,34,1,2,1,1,1,1,3,1,1,33,3,1,1,23,1,1,24,1,1,50,30,1,1,3,2,1,2
33,3,2,4,43,2,4,4,32,41,41,3,3,25,44,3,3,3,3,3,3,39,37,3,4,3,3,3,3,4,2,2,35,5,3,2,30,3,3,24,3,3,30,50,2,2,5,3,3,2
3,25,18,25,3,3,24,26,3,3,4,24,23,3,4,11,11,19,9,14,18,3,4,21,26,25,7,34,16,10,3,16,3,22,21,7,7,21,25,3,23,5,1,2,50,12,15,23,22,17
3,13,12,14,3,2,14,13,2,3,4,12,14,2,4,8,9,12,8,9,13,3,4,13,14,14,5,14,12,8,2,11,3,13,12,8,6,13,13,2,13,5,1,2,12,50,13,12,13,9
6,18,14,17,6,7,19,21,5,6,7,16,16,5,7,10,10,14,9,11,17,6,7,17,20,19,7,17,16,11,3,14,6,19,17,8,9,15,19,5,16,6,3,5,15,13,50,20,17,11
4,27,18,23,4,3,27,40,4,4,5,22,18,4,5,12,12,17,8,13,22,4,5,23,25,31,8,26,17,10,3,16,4,23,24,7,7,18,29,4,23,6,2,3,23,12,20,50,27,21
4,33,18,25,4,3,24,31,3,4,5,23,21,3,5,18,19,19,9,13,21,4,5,34,24,25,18,27,18,10,4,19,4,23,41,8,7,22,31,3,26,11,1,3,22,13,17,27,50,18
3,20,9,17,3,2,17,21,3,3,4,11,16,3,4,7,6,12,8,11,12,3,4,12,15,22,5,23,8,8,1,11,3,15,17,5,5,17,20,2,16,2,2,2,17,9,11,21,18,50
