Argentina,Australia,Austria,Belgium,Bolivia,Brazil,Bulgaria,Canada,Chile,Colombia,Costa Rica,Czech Republic,Denmark,Dominician Republic,Ecuador,Vietnam,Taiwan,Finland,France,Germany,Greece,Guatemala,Honduras,Hong Kong,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Sweden,Uruguay,Switzerland,Malaysia,Turkey,Mexico,Netherlands,New Zeland,Spain,Norway,Thailand,Paraguay,Peru,United Kingdom,Poland,Portugal,United States,Singapore,Malta
50,4,3,5,33,3,4,5,32,32,32,4,3,25,31,4,4,3,3,4,4,32,31,4,5,4,3,4,4,5,2,3,41,6,4,2,27,3,4,24,4,3,30,33,3,4,6,4,4,5
4,50,20,31,6,3,25,32,3,6,7,27,22,3,6,14,16,18,7,15,21,5,6,28,30,29,11,34,18,11,4,16,5,23,29,8,10,20,40,3,24,7,2,4,29,14,16,26,30,21
3,20,50,20,5,3,18,19,3,5,6,21,20,3,5,11,13,18,7,37,17,4,5,17,20,17,6,20,14,12,4,16,4,31,19,8,9,17,20,3,19,5,2,3,20,12,13,17,19,12
5,31,20,50,7,4,23,25,4,7,8,26,22,4,7,12,15,20,19,16,21,6,7,22,28,25,8,29,17,12,4,16,6,32,23,8,11,23,28,5,25,6,3,5,27,15,17,22,23,19
33,6,5,7,50,3,6,7,33,43,43,6,5,27,45,5,6,5,4,5,6,41,40,6,7,6,3,6,6,6,3,5,36,8,6,4,36,4,6,23,6,3,33,44,5,6,8,6,6,7
3,3,3,4,3,50,4,4,3,3,3,4,4,2,3,3,3,4,2,3,4,3,3,4,4,4,2,4,3,3,2,4,3,4,3,1,3,3,3,3,4,2,2,3,4,4,8,4,3,3
4,25,18,23,6,4,50,28,3,6,7,26,22,3,6,15,17,18,7,13,26,5,6,27,32,29,10,28,18,11,5,16,5,23,23,9,9,18,26,4,23,8,2,4,26,15,18,28,24,17
5,32,19,25,7,4,28,50,4,7,8,27,22,4,7,14,16,19,7,13,22,6,7,30,30,32,11,32,17,12,4,19,6,24,28,8,10,19,33,5,27,7,3,5,26,14,20,39,30,18
32,3,3,4,33,3,3,4,50,34,32,3,3,34,33,3,3,3,3,4,3,36,38,3,4,3,2,3,3,5,2,3,34,5,3,1,26,3,3,24,3,2,39,34,3,3,5,4,3,5
32,6,5,7,43,3,6,7,34,50,41,6,5,29,44,6,6,5,3,5,6,40,40,6,7,6,3,6,6,6,4,5,34,8,6,4,35,4,6,22,6,3,32,43,5,6,8,6,6,7
32,7,6,8,43,3,7,8,32,41,50,7,6,30,42,5,7,6,5,6,7,43,41,7,8,7,3,7,7,7,3,6,36,9,7,5,37,5,7,23,7,3,33,41,6,7,9,7,7,8
4,27,21,26,6,4,26,27,3,6,7,50,23,3,6,13,17,20,7,15,21,5,6,26,30,26,9,29,19,11,4,17,5,23,25,8,10,21,27,4,25,7,2,4,25,15,16,22,26,15
3,22,20,22,5,4,22,22,3,5,6,23,50,3,5,10,12,19,7,15,20,4,5,20,25,23,6,24,15,12,4,19,4,23,18,8,9,20,21,4,23,5,2,3,24,14,15,20,19,17
